Track Name,Artist
In My Mind,Dynoro
Sanctuary,Joji
Thunder,Imagine Dragons
Homicide (feat. Eminem),Logic
Secreto,Anuel AA
Sanguine Paradise,Lil Uzi Vert
2002,Anne-Marie
Adan y Eva,Paulo Londra
Moonlight,XXXTENTACION
Who Do You Love,The Chainsmokers
La Boca,Mau y Ricky
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo
you should see me in a crown,Billie Eilish
I Like Me Better,Lauv
MOJAITA,J Balvin
Be Alright,Dean Lewis
Baila Baila Baila,Ozuna
Taste (feat. Offset),Tyga
God's Plan,Drake
Vossi Bop,Stormzy
Body (feat. Brando),Loud Luxury
Another One Bites The Dust - Remastered 2011,Queen
Giant (with Rag'n'Bone Man),Calvin Harris
Murder On My Mind,YNW Melly
Drip Too Hard (Lil Baby & Gunna),Lil Baby
Say You Won't Let Go,James Arthur
UN PESO,J Balvin
ON OFF (feat. Maître Gims),Shirin David
MEGATRON,Nicki Minaj
All Day And Night - Jax Jones & Martin Solveig Present Europa,Jax Jones
Jocelyn Flores,XXXTENTACION
Closer,The Chainsmokers
Havana (feat. Young Thug),Camila Cabello
"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard
Sweet Home Alabama,Lynyrd Skynyrd
The Middle,Zedd
Te Vi,Piso 21
What I Like About You (feat. Theresa Rex),Jonas Blue
Mr. Brightside,The Killers
Photograph,Ed Sheeran
idontwannabeyouanymore,Billie Eilish
One Kiss (with Dua Lipa),Calvin Harris
Desconocidos,Mau y Ricky
Clout (feat. Cardi B),Offset
Look Back At It,A Boogie Wit da Hoodie
Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding
Lost In Japan,Shawn Mendes
Africa,Toto
Bad Liar,Imagine Dragons
Wonderwall - Remastered,Oasis
i love you,Billie Eilish
Juice,Lizzo
Good as Hell,Lizzo
Focus (feat. 21 Savage),Bazzi
Something Just Like This,The Chainsmokers
When I Grow Up,NF
Under Pressure - Remastered,Queen
Psycho (feat. Ty Dolla $ign),Post Malone
Cambio,Ozuna
ZEZE (feat. Travis Scott & Offset),Kodak Black
Too Good At Goodbyes,Sam Smith
Promises (with Sam Smith),Calvin Harris
I'm Yours,Jason Mraz
ocean eyes,Billie Eilish
Don't Stop Believin',Journey
Always Remember Us This Way,Lady Gaga
I Think I'm OKAY (with YUNGBLUD & Travis Barker),Machine Gun Kelly
All of Me,John Legend
Treat You Better,Shawn Mendes
In My Feelings,Drake
Sixteen,Ellie Goulding
New Rules,Dua Lipa
no tears left to cry,Ariana Grande
Thinking out Loud,Ed Sheeran
Shot,Ufo361
IDGAF,Dua Lipa
Aullando,Wisin & Yandel
Meant to Be (feat. Florida Georgia Line),Bebe Rexha
Get You The Moon (feat. Snøw),Kina
