resolution_name,entity_name,y_pred,y_actual,predict_proba
CHRISWALLACE,CHRISCUOMO,1,0,0.2
MITCHMCCONNELL,MITCHMCCONNELL,1,1,0.7136363636363636
LINDSEYGRAHAM,LINDSEYGRAHAM,1,1,0.5892957042957042
MIKEPOMPEO,MIKEPOMPEO,1,1,1.0
MIKEPOMPEO,MIKEPENCE,1,0,1.0
KIMJONGUN,KIMJUNGUN,1,1,0.7666666666666666
CORYBOOKER,CORYBOOKER,1,1,1.0
VLADIMIRPUTIN,VLADIMIRPUTIN,1,1,0.5892957042957042
DONALDTRUMPJR,DONALDTRUMP,1,0,0.3
DONALDTRUMPJR,RONALDREAGAN,1,0,0.1
DONALDTRUMPJR,DONALDTRUMPJR,1,1,0.5892957042957042
MICHAELFLYNN,RICHARDNIXON,1,0,0.1
MICHAELFLYNN,MICHAELFLYNN,1,1,0.5892957042957042
MICHAELFLYNN,RICHARDNIXON,1,0,0.1
BETOOROURKE,BETOOROURKE,1,1,1.0
MICHAELDCOHEN,MICHAELCOHEN,1,1,0.9666666666666666
MICHAELDCOHEN,RICHARDNIXON,1,0,0.1
MICHAELDCOHEN,MICHAELFLYNN,1,0,0.4666666666666666
MICHAELDCOHEN,RICHARDNIXON,1,0,0.1
MIKEPENCE,MICHAELCOHEN,1,0,0.1
MIKEPENCE,MIKEPOMPEO,1,0,1.0
MIKEPENCE,MIKEPENCE,1,1,1.0
JAMESBCOMEY,JAMESCOMEY,1,1,0.8666666666666666
JAMESBCOMEY,JAMESMATTIS,1,0,0.24
PETEBUTTIGIEG,PETEBUTTIGIEG,1,1,0.5892957042957042
CHUCKSCHUMER,CHUCKSCHUMER,1,1,0.5892957042957042
RONALDREAGAN,DONALDTRUMP,1,0,0.1
RONALDREAGAN,RONALDREAGAN,1,1,0.5892957042957042
RONALDREAGAN,DONALDTRUMPJR,1,0,0.1
RUDYGIULIANI,RUDYGIULIANI,1,1,0.5892957042957042
RUDYGIULIANI,JULIANASSANGES,1,0,0.1
RODROSENSTEIN,RODROSENSTEIN,1,1,0.5892957042957042
RODROSENSTEIN,KENSTARR,1,0,0.1
BRETTKAVANAUGH,BRETTKAVANAUGH,1,1,0.7136363636363636
MIKEPENCE,MICHAELCOHEN,1,0,0.1
MIKEPENCE,MIKEPOMPEO,1,0,1.0
MIKEPENCE,MIKEPENCE,1,1,1.0
RODJROSENSTEIN,RODROSENSTEIN,1,1,0.9666666666666666
KELLYANNECONWAY,KELLYANNECONWAY,1,1,0.85
KELLYANNECONWAY,JOHNKELLY,1,0,0.1
KELLYANNECONWAY,KELLYANNECONWAY,1,1,0.85
KELLYANNECONWAY,JOHNKELLY,1,0,0.1
WILLIAMPBARR,WILLIAMBARR,1,1,0.9666666666666666
WILLIAMPBARR,JENNIFERWILLIAMS,1,0,0.3
WILLIAMPBARR,BILLBARR,1,0,0.1
WILLIAMPBARR,JUANWILLIAMS,1,0,0.3
RUDOLPHWGIULIANI,RUDYGIULIANI,1,1,0.7
RUDOLPHWGIULIANI,JULIANASSANGES,1,0,0.1
JAREDKUSHNER,JAREDKUSHNER,1,1,0.5892957042957042
JOHNKASICH,JOHNROBERTS,1,0,0.1
JOHNKASICH,JOHNKELLY,1,0,0.1
JOHNKASICH,JOHNKASICH,1,1,1.0
JOHNBOLTON,JOHNMCCAIN,1,0,0.1
JOHNBOLTON,JOHNBOLTON,1,1,1.0
JOHNBOLTON,JOHNROBERTS,1,0,0.1
JULIANASSANGE,JULIANASSANGES,1,1,0.6803030303030303
HILLARYCLINTON,HILLARYCLINTON,1,1,0.7136363636363636
SARAHHUCKABEESANDERS,BERNIESANDERS,1,0,0.5
SARAHHUCKABEESANDERS,SARAHSANDERS,1,1,0.7
DONALDJTRUMP,DONALDTRUMP,1,1,0.9666666666666666
DONALDJTRUMP,RONALDREAGAN,1,0,0.1
DONALDJTRUMP,DONALDTRUMPJR,1,0,1.0
JIMMATTIS,JAMESMATTIS,1,1,1.0
GEORGEBUSH,GEORGEBUSH,1,1,1.0
